,ID_VICTIMA,FECHA,AÑO,DIA_SEMANA,HORA,DEPARTAMENTO,JURISDICCION,LUGAR,MOTIVO_APARENTE,ARMAREC,PROCESADOS,MENORESCINICIOPROC,ACLARADO,SEXO,EDADCALC,ANTECEDENTES,ANTECEDENTESPORESTUPEFACIENTES,REL_VICT_AGRES,MES_NUMERO,TRIMESTRE_NUMERO,DIA_SEMANA_NUMERO,RANGO_EDAD
0,AAA1134816,30.04.2021,2021.0,VIERNES,8,CANELONES,SECCIONAL 28,VIA PUBLICA U OTROS ESPACIOS ABIERTOS,AJUSTE DE CUENTAS/ CONFLICTOS ENTRE CRIMINALES,ARMA DE FUEGO,SIN PROCESADOS,SIN MENORES C/INICIO PROC.,SIN ACLARAR,HOMBRE,39,ANTECEDENTES POR DELITOS NO VIOLENTOS,SIN ANTECEDENTES,AMIGO/CONOCIDO,4,2,5,35 - 40
1,AAA1146478,30.04.2021,2021.0,VIERNES,13,MONTEVIDEO,SECCIONAL 24,VIA PUBLICA U OTROS ESPACIOS ABIERTOS,AJUSTE DE CUENTAS/ CONFLICTOS ENTRE CRIMINALES,ARMA DE FUEGO,SIN PROCESADOS,SIN MENORES C/INICIO PROC.,SIN ACLARAR,HOMBRE,33,ANTECEDENTES POR AMBOS TIPOS DE DELITOS,SIN ANTECEDENTES,AMIGO/CONOCIDO,4,2,5,30 - 35
2,AAA128234,28.04.2021,2021.0,MIERCOLES,22,MONTEVIDEO,SECCIONAL 14,VIA PUBLICA U OTROS ESPACIOS ABIERTOS,ALTERCADOS ESPONTANEOS/ CONFLICTOS DIVERSOS,ARMA DE FUEGO,SIN PROCESADOS,SIN MENORES C/INICIO PROC.,SIN ACLARAR,HOMBRE,31,ANTECEDENTES POR DELITOS VIOLENTOS,SIN ANTECEDENTES,AMIGO/CONOCIDO,4,2,3,30 - 35
3,AAA199424,28.04.2021,2021.0,MIERCOLES,20,TACUAREMBO,SECCIONAL 2,RESIDENCIA,VIOLENCIA DOMESTICA Y ASOCIADOS,CORTO / PUNZANTE,AUTOR MAYOR FALLECIDO,SIN MENORES C/INICIO PROC.,ACLARADO,MUJER,60,SIN ANTECEDENTES,SIN ANTECEDENTES,PAREJA/EX PAREJA,4,2,3,60 - 65
4,AAB1152814,16.04.2021,2021.0,VIERNES,18,MONTEVIDEO,SECCIONAL 15,VIA PUBLICA U OTROS ESPACIOS ABIERTOS,AJUSTE DE CUENTAS/ CONFLICTOS ENTRE CRIMINALES,ARMA DE FUEGO,SIN PROCESADOS,SIN MENORES C/INICIO PROC.,SIN ACLARAR,HOMBRE,28,ANTECEDENTES POR DELITOS VIOLENTOS,SIN ANTECEDENTES,SIN RELACION,4,2,5,25 - 30
5,AAB134360,15.04.2021,2021.0,JUEVES,2,MONTEVIDEO,SECCIONAL 13,VIA PUBLICA U OTROS ESPACIOS ABIERTOS,AJUSTE DE CUENTAS/ CONFLICTOS ENTRE CRIMINALES,ARMA DE FUEGO,SIN PROCESADOS,SIN MENORES C/INICIO PROC.,SIN ACLARAR,HOMBRE,29,SIN ANTECEDENTES,SIN ANTECEDENTES,AMIGO/CONOCIDO,4,2,4,25 - 30
6,AAB16892,14.04.2021,2021.0,MIERCOLES,15,CENTROS CARCELARIOS,SECCIONAL 20,ESTABLECIMIENTO DE RECLUSION,AJUSTE DE CUENTAS/ CONFLICTOS ENTRE CRIMINALES,CORTO / PUNZANTE,SIN PROCESADOS,SIN MENORES C/INICIO PROC.,SIN ACLARAR,HOMBRE,39,ANTECEDENTES POR DELITOS NO VIOLENTOS,SIN ANTECEDENTES,AMIGO/CONOCIDO,4,2,3,35 - 40
7,AAB26892,14.04.2021,2021.0,MIERCOLES,15,CENTROS CARCELARIOS,SECCIONAL 20,ESTABLECIMIENTO DE RECLUSION,AJUSTE DE CUENTAS/ CONFLICTOS ENTRE CRIMINALES,CORTO / PUNZANTE,SIN PROCESADOS,SIN MENORES C/INICIO PROC.,SIN ACLARAR,HOMBRE,49,ANTECEDENTES POR DELITOS VIOLENTOS,CON ANTECEDENTES,AMIGO/CONOCIDO,4,2,3,45 - 50
8,AAD148048,02.05.2021,2021.0,DOMINGO,2,MALDONADO,SECCIONAL 6,VIA PUBLICA U OTROS ESPACIOS ABIERTOS,AJUSTE DE CUENTAS/ CONFLICTOS ENTRE CRIMINALES,CORTO / PUNZANTE,CON PROCESADOS,SIN MENORES C/INICIO PROC.,ACLARADO,HOMBRE,27,ANTECEDENTES POR DELITOS NO VIOLENTOS,SIN ANTECEDENTES,AMIGO/CONOCIDO,5,2,7,25 - 30
9,AAF112620,06.04.2021,2021.0,MARTES,12,MONTEVIDEO,SECCIONAL 19,RESIDENCIA,AJUSTE DE CUENTAS/ CONFLICTOS ENTRE CRIMINALES,ARMA DE FUEGO,SIN PROCESADOS,SIN MENORES C/INICIO PROC.,SIN ACLARAR,HOMBRE,38,SIN ANTECEDENTES,SIN ANTECEDENTES,AMIGO/CONOCIDO,4,2,2,35 - 40
10,AAI1134696,24.04.2021,2021.0,SABADO,22,MONTEVIDEO,SECCIONAL 18,VIA PUBLICA U OTROS ESPACIOS ABIERTOS,AJUSTE DE CUENTAS/ CONFLICTOS ENTRE CRIMINALES,ARMA DE FUEGO,SIN PROCESADOS,SIN MENORES C/INICIO PROC.,SIN ACLARAR,HOMBRE,19,SIN ANTECEDENTES,SIN ANTECEDENTES,SIN RELACION,4,2,6,15 - 20
11,AAM116966,20.04.2021,2021.0,MARTES,14,TACUAREMBO,SECCIONAL 2,RESIDENCIA,VIOLENCIA DOMESTICA Y ASOCIADOS,CORTO / PUNZANTE,AUTOR MAYOR FALLECIDO,SIN MENORES C/INICIO PROC.,ACLARADO,MUJER,28,SIN ANTECEDENTES,SIN ANTECEDENTES,AMIGO/CONOCIDO,4,2,2,25 - 30
12,AAM1198126,22.04.2021,2021.0,JUEVES,22,MONTEVIDEO,SECCIONAL 12,VIA PUBLICA U OTROS ESPACIOS ABIERTOS,AJUSTE DE CUENTAS/ CONFLICTOS ENTRE CRIMINALES,ARMA DE FUEGO,SIN PROCESADOS,SIN MENORES C/INICIO PROC.,SIN ACLARAR,HOMBRE,19,SIN ANTECEDENTES,SIN ANTECEDENTES,AMIGO/CONOCIDO,4,2,4,15 - 20
13,AAM128096,18.04.2021,2021.0,DOMINGO,12,MONTEVIDEO,SECCIONAL 18,RESIDENCIA,AJUSTE DE CUENTAS/ CONFLICTOS ENTRE CRIMINALES,ARMA DE FUEGO,CON PROCESADOS,SIN MENORES C/INICIO PROC.,ACLARADO,HOMBRE,43,ANTECEDENTES POR DELITOS NO VIOLENTOS,SIN ANTECEDENTES,AMIGO/CONOCIDO,4,2,7,40 - 45
14,AAM196220,21.04.2021,2021.0,MIERCOLES,14,CENTROS CARCELARIOS,SECCIONAL 20,ESTABLECIMIENTO DE RECLUSION,AJUSTE DE CUENTAS/ CONFLICTOS ENTRE CRIMINALES,CORTO / PUNZANTE,SIN PROCESADOS,SIN MENORES C/INICIO PROC.,SIN ACLARAR,HOMBRE,27,ANTECEDENTES POR AMBOS TIPOS DE DELITOS,SIN ANTECEDENTES,AMIGO/CONOCIDO,4,2,3,25 - 30
15,AAO1172472,28.04.2021,2021.0,MIERCOLES,9,RIVERA,SECCIONAL 1,RESIDENCIA,ALTERCADOS ESPONTANEOS/ CONFLICTOS DIVERSOS,CORTO / PUNZANTE,CON PROCESADOS,SIN MENORES C/INICIO PROC.,ACLARADO,HOMBRE,19,SIN ANTECEDENTES,SIN ANTECEDENTES,AMIGO/CONOCIDO,4,2,3,15 - 20
16,AAP1166580,19.04.2021,2021.0,LUNES,23,MALDONADO,SECCIONAL 1,VIA PUBLICA U OTROS ESPACIOS ABIERTOS,AJUSTE DE CUENTAS/ CONFLICTOS ENTRE CRIMINALES,CORTO / PUNZANTE,CON PROCESADOS,SIN MENORES C/INICIO PROC.,ACLARADO,HOMBRE,40,ANTECEDENTES POR DELITOS NO VIOLENTOS,SIN ANTECEDENTES,FAMILIAR,4,2,1,40 - 45
17,AAP120952,17.04.2021,2021.0,SABADO,18,MONTEVIDEO,SECCIONAL 12,VIA PUBLICA U OTROS ESPACIOS ABIERTOS,AJUSTE DE CUENTAS/ CONFLICTOS ENTRE CRIMINALES,ARMA DE FUEGO,SIN PROCESADOS,SIN MENORES C/INICIO PROC.,SIN ACLARAR,HOMBRE,29,ANTECEDENTES POR AMBOS TIPOS DE DELITOS,SIN ANTECEDENTES,PAREJA/EX PAREJA,4,2,6,25 - 30
18,AAT1118394,10.04.2021,2021.0,SABADO,16,MONTEVIDEO,SECCIONAL 13,VIA PUBLICA U OTROS ESPACIOS ABIERTOS,OTROS MOTIVOS,ARMA DE FUEGO,CON PROCESADOS,SIN MENORES C/INICIO PROC.,ACLARADO,HOMBRE,24,ANTECEDENTES POR DELITOS NO VIOLENTOS,SIN ANTECEDENTES,SIN RELACION,4,2,6,20 - 25
